name;suspiciousness_value
org.jfree.data.general$AbstractDataset#AbstractDataset():92;1.0
org.jfree.data.general$AbstractDataset#AbstractDataset():93;1.0
org.jfree.data.general$AbstractDataset#AbstractDataset():94;1.0
org.jfree.data.general$AbstractDataset#AbstractDataset():95;1.0
org.jfree.data.general$AbstractDataset#addChangeListener(org.jfree.data.general.DatasetChangeListener):130;1.0
org.jfree.data.general$AbstractDataset#addChangeListener(org.jfree.data.general.DatasetChangeListener):131;1.0
org.jfree.data.general$AbstractSeriesDataset#AbstractSeriesDataset():63;1.0
org.jfree.data.general$AbstractSeriesDataset#AbstractSeriesDataset():64;1.0
org.jfree.data.xy$AbstractXYDataset#AbstractXYDataset():54;1.0
org.jfree.data.general$DatasetGroup#DatasetGroup():63;1.0
org.jfree.data.general$DatasetGroup#DatasetGroup():64;1.0
org.jfree.data.general$DatasetGroup#DatasetGroup():65;1.0
org.jfree.data.general$DatasetChangeEvent#DatasetChangeEvent(java.lang.Object,org.jfree.data.general.Dataset):71;1.0
org.jfree.data.general$DatasetChangeEvent#DatasetChangeEvent(java.lang.Object,org.jfree.data.general.Dataset):72;1.0
org.jfree.data.general$DatasetChangeEvent#DatasetChangeEvent(java.lang.Object,org.jfree.data.general.Dataset):73;1.0
org.jfree.chart.plot$PlotOrientation#PlotOrientation(java.lang.String):72;1.0
org.jfree.chart.plot$PlotOrientation#PlotOrientation(java.lang.String):73;1.0
org.jfree.chart.plot$PlotOrientation#PlotOrientation(java.lang.String):74;1.0
org.jfree.chart.plot$PlotOrientation#<clinit>():57;1.0
org.jfree.chart.plot$PlotOrientation#<clinit>():61;1.0
org.jfree.chart$ChartFactory#<clinit>():233;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):303;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):227;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):230;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):304;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):307;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):308;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):309;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):310;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):311;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):312;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):313;1.0
org.jfree.chart$StandardChartTheme#StandardChartTheme(java.lang.String):314;1.0
