name;suspiciousness_value
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#ReturnsEmptyValues():53;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#ReturnsEmptyValues():56;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#ReturnsEmptyValues():57;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):83;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):87;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):89;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):91;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):93;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):95;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):97;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):99;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):101;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):103;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):105;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):107;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):109;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):111;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):113;1.0
org.mockito.internal.stubbing.defaultanswers$ReturnsEmptyValues#returnValueFor(java.lang.Class):117;1.0
org.mockito.internal.util$ObjectMethodsGuru#ObjectMethodsGuru():13;1.0
org.mockito.internal.util$MockUtil#MockUtil():22;1.0
org.mockito.internal.util$MockUtil#<clinit>():24;1.0
org.mockito.internal.util$MockUtil#isMock(java.lang.Object):66;1.0
org.mockito.internal.util$MockUtil#isSpy(java.lang.Object):70;1.0
org.mockito.internal.util$MockUtil#isMockitoMock(java.lang.Object):74;1.0
org.mockito.internal.configuration.plugins$Plugins#<clinit>():11;1.0
org.mockito.internal.configuration.plugins$Plugins#getMockMaker():27;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():7;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():9;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():10;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():12;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():13;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():15;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#PluginRegistry():16;1.0
org.mockito.internal.configuration.plugins$PluginRegistry#getMockMaker():33;1.0
org.mockito.internal.configuration.plugins$PluginLoader#PluginLoader(org.mockito.plugins.PluginSwitch):16;1.0
org.mockito.internal.configuration.plugins$PluginLoader#PluginLoader(org.mockito.plugins.PluginSwitch):17;1.0
org.mockito.internal.configuration.plugins$PluginLoader#PluginLoader(org.mockito.plugins.PluginSwitch):18;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadPlugin(java.lang.Class,java.lang.String):24;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadPlugin(java.lang.Class,java.lang.String):25;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadPlugin(java.lang.Class,java.lang.String):33;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):46;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):47;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):52;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):55;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):58;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):59;1.0
org.mockito.internal.configuration.plugins$PluginLoader#loadImpl(java.lang.Class):64;1.0
org.mockito.internal.configuration.plugins$DefaultPluginSwitch#DefaultPluginSwitch():5;1.0
org.mockito.internal.configuration.plugins$PluginFinder#PluginFinder(org.mockito.plugins.PluginSwitch):14;1.0
org.mockito.internal.configuration.plugins$PluginFinder#PluginFinder(org.mockito.plugins.PluginSwitch):15;1.0
org.mockito.internal.configuration.plugins$PluginFinder#PluginFinder(org.mockito.plugins.PluginSwitch):16;1.0
org.mockito.internal.configuration.plugins$PluginFinder#findPluginClass(java.lang.Iterable):19;1.0
org.mockito.internal.configuration.plugins$PluginFinder#findPluginClass(java.lang.Iterable):39;1.0
org.mockito.internal.util.collections$Iterables#toIterable(java.util.Enumeration):16;1.0
org.mockito.internal.util.collections$Iterables#toIterable(java.util.Enumeration):17;1.0
org.mockito.internal.util.collections$Iterables#toIterable(java.util.Enumeration):20;1.0
org.mockito.internal.exceptions.stacktrace$DefaultStackTraceCleanerProvider#DefaultStackTraceCleanerProvider():9;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):90;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):94;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):95;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):98;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):101;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):102;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):103;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):108;1.0
org.mockito$MockitoAnnotations#initMocks(java.lang.Object):109;1.0
org.mockito$MockitoAnnotations#scanDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.Class):112;1.0
org.mockito$MockitoAnnotations#scanDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.Class):114;1.0
org.mockito$MockitoAnnotations#scanDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.Class):115;1.0
org.mockito$MockitoAnnotations#scanDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.Class):117;1.0
org.mockito$MockitoAnnotations#processAnnotationDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.reflect.Field):121;1.0
org.mockito$MockitoAnnotations#processAnnotationDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.reflect.Field):122;1.0
org.mockito$MockitoAnnotations#processAnnotationDeprecatedWay(org.mockito.configuration.AnnotationEngine,java.lang.Object,java.lang.reflect.Field):135;1.0
org.mockito.internal.configuration$GlobalConfiguration#GlobalConfiguration():29;1.0
org.mockito.internal.configuration$GlobalConfiguration#GlobalConfiguration():31;1.0
org.mockito.internal.configuration$GlobalConfiguration#GlobalConfiguration():32;1.0
org.mockito.internal.configuration$GlobalConfiguration#GlobalConfiguration():34;1.0
org.mockito.internal.configuration$GlobalConfiguration#<clinit>():22;1.0
org.mockito.internal.configuration$GlobalConfiguration#getIt():26;1.0
org.mockito.internal.configuration$GlobalConfiguration#createConfig():37;1.0
org.mockito.internal.configuration$GlobalConfiguration#createConfig():38;1.0
org.mockito.internal.configuration$GlobalConfiguration#createConfig():39;1.0
org.mockito.internal.configuration$GlobalConfiguration#createConfig():40;1.0
org.mockito.internal.configuration$GlobalConfiguration#validate():47;1.0
org.mockito.internal.configuration$GlobalConfiguration#validate():48;1.0
org.mockito.internal.configuration$GlobalConfiguration#getAnnotationEngine():55;1.0
org.mockito.configuration$DefaultMockitoConfiguration#DefaultMockitoConfiguration():20;1.0
org.mockito.configuration$DefaultMockitoConfiguration#getAnnotationEngine():39;1.0
org.mockito.internal.configuration$ClassPathLoader#ClassPathLoader():56;1.0
org.mockito.internal.configuration$ClassPathLoader#loadConfiguration():68;1.0
org.mockito.internal.configuration$ClassPathLoader#loadConfiguration():72;1.0
org.mockito.internal.configuration$ClassPathLoader#loadConfiguration():75;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#InjectingAnnotationEngine():23;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#InjectingAnnotationEngine():24;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#InjectingAnnotationEngine():25;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#process(java.lang.Class,java.lang.Object):55;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#process(java.lang.Class,java.lang.Object):56;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#process(java.lang.Class,java.lang.Object):57;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processInjectMocks(java.lang.Class,java.lang.Object):60;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processInjectMocks(java.lang.Class,java.lang.Object):61;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processInjectMocks(java.lang.Class,java.lang.Object):62;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processInjectMocks(java.lang.Class,java.lang.Object):63;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processInjectMocks(java.lang.Class,java.lang.Object):65;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processIndependentAnnotations(java.lang.Class,java.lang.Object):68;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processIndependentAnnotations(java.lang.Class,java.lang.Object):69;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processIndependentAnnotations(java.lang.Class,java.lang.Object):71;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processIndependentAnnotations(java.lang.Class,java.lang.Object):73;1.0
org.mockito.internal.configuration$InjectingAnnotationEngine#processIndependentAnnotations(java.lang.Class,java.lang.Object):75;1.0
